#redshift	imR	gmr	rmi	imz	Kcorr
3.475	-0.2066218941146604	-0.07345349950624565	0.16946165251039078	0.43933817244630363	5.295716271552314
3.51	-0.19090228406734516	-0.031313982241222886	0.14726749025109037	0.39218112163720814	5.278186069416079
3.545	-0.19525959666051623	-0.021260805846472493	0.16388448728109095	0.3418257696290373	5.260684268692587
3.58	-0.187921329744732	-0.016818064608741894	0.17972220226373925	0.31759544114051697	5.23208417076705
3.615	-0.19932753455650443	0.006726539548656542	0.1743670086249805	0.3142287282378456	5.228339413351749
3.65	-0.20694683529081437	0.04441462564351009	0.16733854542598361	0.2819522729901037	5.238323661698942
3.685	-0.18968818504172102	0.0435713997349796	0.16354916649863052	0.2688654613324257	5.2544649815187965
3.72	-0.14338452249240555	0.07690716392650145	0.11629980802030317	0.3169700939257578	5.286205833724656
3.7550000000000003	-0.13580147320205932	0.07849010752502228	0.12540047257729445	0.3151751966042524	5.289988694688493
3.79	-0.1253500086600649	0.10504197588181849	0.12353408628554845	0.2791341414591864	5.279622162946926
3.8249999999999997	-0.13429508730237066	0.10002958795964789	0.12665524640835074	0.22659311881871147	5.281732729916331
3.86	-0.12428531012041144	0.1320245286275182	0.1125224837900077	0.20840664389031624	5.273689681457222
3.895	-0.12346553708938457	0.15643285465638523	0.09469555530682869	0.16332138509872512	5.267470545225302
3.9299999999999997	-0.07943476533584003	0.17515383497594128	0.05246613765309862	0.17799855689255797	5.2491475454881
3.965	-0.03978750794888419	0.20586994555396945	0.008457736804892785	0.17528031112024003	5.222583824008463
