#  RA   Dec   redshift   u    g   r   i   z
34.70102806 -7.276295052 0.66 25.9695 24.6689 23.4033 22.403 21.8681
34.69159997 -7.27709664 0.53 99.0 24.3985 23.1673 22.0487 21.7428
34.7998773 -7.275217309 0.97 24.8507 24.1756 23.0909 21.9743 21.0966
34.86336148 -7.274963189 0.25 25.2317 23.6781 22.576 22.0802 21.796
34.85306969 -7.274432786 0.35 25.6381 23.9361 22.5537 21.9761 21.7276
34.21865801 -7.273426784 0.6 99.0 24.1333 22.6317 21.4154 21.0332
34.77699289 -7.273576686 0.58 25.9965 24.194 23.4182 22.4556 21.9363
34.67801525 -7.27351201 0.49 24.1035 22.1863 -99.0 19.8097 19.4997
34.1008911 -7.272475716 0.8 25.2091 24.4894 22.9589 21.893 21.4428
34.3304489 -7.271153013 0.53 25.9328 24.4269 22.8475 22.1029 21.6121
34.19644235 -7.270863277 0.9 25.0532 24.1358 23.2573 22.2324 21.3062
34.25670856 -7.269810471 0.57 26.0815 24.1793 22.687 21.6849 21.2582
34.14387821 -7.269259921 0.52 25.3902 24.07 22.6079 21.889 21.5138
34.04657775 -7.268322053 0.51 26.281 24.4778 22.9791 22.0933 21.803
34.48536858 -7.267018939 0.62 25.889 24.131 22.7662 21.5771 21.2115
34.0462114 -7.266797565 0.66 26.4741 24.2734 22.7281 21.4575 20.9799
34.48287962 -7.266262932 0.68 25.8369 24.4273 22.911 21.7505 21.3558
34.34371936 -7.265991716 0.64 24.4126 23.3412 22.0143 21.0529 20.6894
34.10483099 -7.265304386 0.23 24.1182 22.7584 21.8877 21.463 21.1961
34.63878444 -7.265604379 0.53 24.6077 23.333 22.1678 21.3923 21.042
34.56987912 -7.264061056 0.63 99.0 25.1599 23.6348 22.4312 21.9735
34.85722608 -7.263661566 0.32 25.6583 23.8101 22.4772 21.9415 21.6653
34.34447227 -7.264319917 0.51 25.3161 23.7751 22.774 21.8981 21.6347
34.86693641 -7.26320228 0.35 25.5059 24.0857 22.9105 22.3577 22.0342
34.63937807 -7.263129818 0.91 25.4823 24.7478 23.5636 22.448 21.6523
34.63086625 -7.262592781 1.14 25.6305 25.6366 23.6083 22.3908 21.6383
34.25172476 -7.26234015 0.55 99.0 24.8449 23.2977 22.3379 21.8125
34.69088959 -7.262454856 0.53 26.7231 24.6694 23.2696 22.3855 21.8587
34.85793453 -7.262688366 0.34 24.7639 23.1329 21.8059 21.2711 20.939
34.45628679 -7.261352861 0.39 25.2301 23.4035 22.0417 21.3527 21.0711
34.12110163 -7.261425301 0.22 23.3882 21.8715 20.8996 20.3685 20.0651
34.89952622 -7.261292056 0.63 25.236 23.7101 22.1323 21.1154 20.6836
