#redshift	imR	gmr	rmi	imz
3.09	-0.06800819432456441	0.4066784282202949	0.09358144099853355	0.029896779688267736
3.125	-0.06398867816334264	0.4247621502288924	0.09391392667125957	0.02518920011941546
3.16	-0.06524005718142176	0.44187172893856574	0.09546212053995737	0.021393471139752485
3.1950000000000003	-0.06881971499698299	0.4589758899977201	0.1009459776786842	0.015260876384004128
3.23	-0.07552182073141638	0.4805714790175898	0.10780308386985528	0.008170908087924294
3.265	-0.08364169009460942	0.4982963303306752	0.11609371816263897	0.002834106410124889
3.3000000000000003	-0.0934765747859497	0.5137264661729336	0.12878932969705967	0.002662632923916603
3.335	-0.10434533439206327	0.5326031848634482	0.1368483870207525	0.016284762241560388
3.3699999999999997	-0.11082999484611222	0.5650669851267401	0.13838620845403607	0.02965106371559372
3.405	-0.11433746889905519	0.6049485605235503	0.13386862786142936	0.039406635766893
3.44	-0.11335779121617262	0.6723354829109653	0.11274348098206424	0.05354484513282751
3.475	-0.1083181548246161	0.7561848770723156	0.0852024397394478	0.06957837398505465
3.51	-0.11716959587928323	0.8481860986625934	0.07696226945837473	0.0674307183117903
3.545	-0.14529988226708226	0.9901797690462509	0.0819648447575774	0.04521178520036752
3.58	-0.16933163751927305	1.0632604264896164	0.09461110181564951	0.033597451613663384
3.615	-0.179544521788985	1.1063301147004085	0.10327268527934955	0.031115627907729575
3.65	-0.17069247344908273	1.1374554081967612	0.11139371949948135	0.030969369647477776
3.685	-0.1385315540750908	1.1605272798422823	0.11969058692738935	0.03164157860020789
3.72	-0.09675334178137773	1.1811979340132877	0.12847593074773594	0.033217038906125616
3.7550000000000003	-0.08174442090032326	1.194789527799607	0.1353558673250673	0.03552649255137117
3.79	-0.0776205004540337	1.2081111553073791	0.1433960144196204	0.03756601749824614
3.8249999999999997	-0.08022168128301543	1.2214506090629242	0.15041103212401732	0.04008533397527079
3.86	-0.07993254093762886	1.2356791146558257	0.1554532679885279	0.0449055199496555
3.895	-0.0848877306115399	1.2526838004407002	0.16164982935200176	0.04841516922625538
3.9299999999999997	-0.09167204453488131	1.271763385052882	0.16963137362407638	0.0518396255460632
3.965	-0.10136941496462813	1.284994465903683	0.1822708175264124	0.05515794480587935
