# ra  dec  z  mag_u  mag_g  mag_r  mag_i  mag_z
62.7207642152521  -0.707865966931629  0.427888  23.85884  21.24152  19.41434  18.68227  18.31946
62.7497321282236  -0.713266628140778  0.38254  26.45883  20.48606  18.68719  18.05526  17.63927
62.895632212461  -0.645319280407112  0.276957  21.068  19.58691  18.08532  17.53419  17.21141
63.0535611304252  -0.72761363826465  0.363898  22.76887  21.00842  19.24863  18.62017  18.27404
63.5910323151027  -0.63303500743926  0.296033  23.61671  20.70556  19.21083  18.66194  18.32048
63.4961639366931  -0.696924638294958  0.326128  22.22556  20.33137  18.66148  18.08915  17.72768
63.5968209798882  -0.672427786690129  0.338427  24.67301  20.97363  19.20746  18.67126  18.34603
63.8221828444715  -0.73586062015468  0.305231  21.47227  20.03036  18.47088  17.88287  17.54039
63.814951971481  -0.734518705844019  0.293531  21.91457  20.29733  18.75616  18.16685  17.88767
63.815274397477  -0.704076819420804  0.335156  24.60677  20.87633  19.29816  18.7042  18.33954
63.9673392278228  -0.807292253883613  0.369023  22.98304  21.18512  19.23252  18.62255  18.23598
64.1218189852231  -0.765208587921412  0.305887  21.79273  19.82167  18.19655  17.63246  17.27288
64.1379266856123  -0.771362470516891  0.29286  23.02882  20.20923  18.67265  18.11628  17.77425
64.1875907009988  -0.748272186336602  0.326812  22.71054  20.6635  19.02989  18.47783  18.1461
64.2293459522718  -0.761611469388522  0.320432  24.20838  20.3267  18.72256  18.11593  17.7674
64.1591632603599  -0.744310158028262  0.329169  23.46203  20.72791  19.06588  18.51848  18.12317
64.3933576941218  -0.780878516763002  0.342885  21.36094  20.41588  18.77448  18.1889  17.79791
65.0291879166138  -0.639026501423255  0.483482  22.23054  21.03177  19.3243  18.44548  18.05618
65.1522792198018  -0.749295194804078  0.426186  23.12574  20.38918  18.61123  17.8739  17.42415
65.3148531862639  -0.747279040122631  0.298038  21.58495  20.15219  18.64493  18.126  17.7376
65.566644424808  -0.729981841731576  0.325117  21.83987  20.12196  18.46508  17.88682  17.55459
65.4723206635556  -0.805595278907966  0.608076  22.73885  21.15931  19.40129  18.20192  17.64699
65.5959339873575  -0.786841791233804  0.347348  23.2042  21.17846  19.45403  18.88128  18.50643
65.8734127539266  -0.654337722799331  0.346137  22.06952  20.56499  18.9137  18.29711  17.96751
66.3186421005514  -0.771839425336151  0.431342  22.46047  20.55937  18.87771  18.12995  17.72749
66.3885170760007  -0.800869570371436  0.339105  24.89028  20.58486  18.87573  18.30431  17.96239
60.6157424300385  -0.373624921435692  0.300915  22.32791  20.12755  18.63367  18.14869  17.8986
60.8469729597794  -0.235354551649677  0.425722  21.80506  21.02165  19.18181  18.44388  18.06356
60.7434527025937  -0.366770603073701  0.290052  23.4897  20.57083  19.04114  18.54352  18.19871
60.9387033694103  -0.282557565116601  0.339817  23.49569  20.79947  19.01425  18.48612  18.14246
60.9544824392802  -0.29068917836655  0.298667  20.7652  19.78756  18.24902  17.7112  17.38284
61.0904890637899  -0.330068615727533  0.343074  22.63507  20.89823  19.18236  18.59267  18.25139
61.135714117878  -0.269530001033779  0.281681  23.14348  20.04719  18.51211  18.02569  17.68939
61.1328564366236  -0.301825063452284  0.338119  22.40396  20.08739  18.34989  17.75298  17.3913
61.380537332641  -0.227424127139994  0.373779  22.21205  20.28184  18.46271  17.81294  17.43847
61.4730826045125  -0.309682955359087  0.333598  23.89603  20.26867  18.56529  18.02024  17.62696
61.5606373964227  -0.336934675057512  0.381048  22.8524  21.23384  19.34495  18.75977  18.2931
61.5614583876899  -0.339608408871493  0.340491  22.61377  20.76559  19.03987  18.50415  18.09499
61.4880170806809  -0.324627964551621  0.304713  21.25112  19.10278  17.40597  16.80653  16.5708
61.4854076438497  -0.336676110299839  0.328073  22.96222  20.5418  18.79664  18.30531  17.99801
61.403156481607  -0.32601780876121  0.304735  24.10686  20.11926  18.49523  17.93158  17.67378
61.3976081983214  -0.225639440435045  0.288435  21.77803  19.85195  18.31228  17.76084  17.48507
61.9626732000357  -0.214858679650845  0.304351  22.29384  20.20468  18.64516  18.04209  17.76671
61.9193205008902  -0.313746998034957  0.452413  23.01611  21.11567  19.4229  18.64315  18.19405
61.9465628271435  -0.321995977687454  0.382984  23.75425  20.78039  19.04565  18.38939  18.02679
62.1217960081615  -0.303305411541821  0.37797  22.67809  21.16409  19.43933  18.81306  18.39585
62.1576269565271  -0.362227077191392  0.369237  22.65233  20.98099  19.29375  18.65417  18.30391
62.3807204307015  -0.348971310626111  0.452856  23.96178  20.94455  19.13139  18.33736  17.87073
62.3953985350993  -0.358753372950128  0.432056  22.09026  20.70234  18.96243  18.21578  17.82526
62.5910776188542  -0.3414539677972  0.413781  22.76789  20.86011  18.88837  18.16572  17.829
62.51855472904  -0.262695521755278  0.411789  22.48713  21.14064  19.40117  18.71175  18.27972
62.6668715565304  -0.388286053823159  0.341777  23.15977  20.60025  18.86876  18.29304  17.94083
